,id,response_mode,id,url,name,families,full_name,variant
110,8730,list,137,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/137/,New Shepard,[],New Shepard,
111,8759,list,503,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/503/,Gravity-1,[],Gravity-1,Gravity-1
112,8766,list,17,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/17/,Long March 2D,"[{'response_mode': 'list', 'id': 106, 'name': 'Long March'}, {'response_mode': 'list', 'id': 109, 'name': 'Long March 2'}]",Long March 2D,D
113,8696,list,527,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/527/,Starship,"[{'response_mode': 'list', 'id': 156, 'name': 'Starship'}]",Starship V2,V2
114,8113,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
115,8263,list,26,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/26/,Electron,[],Electron,
116,7893,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
117,8734,list,518,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/518/,Long March 8A,"[{'response_mode': 'list', 'id': 106, 'name': 'Long March'}, {'response_mode': 'list', 'id': 115, 'name': 'Long March 8'}]",Long March 8A,A
118,8732,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
119,8769,list,478,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/478/,Long March 6A,"[{'response_mode': 'list', 'id': 106, 'name': 'Long March'}, {'response_mode': 'list', 'id': 113, 'name': 'Long March 6'}]",Long March 6A,A
120,8770,list,483,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/483/,Kinetica 1,[],Kinetica 1,
